P_used, P_req, V_h, V_c, Re_h, Re_c, U [W/(m*degC)]
93, 191, 0.021839721243257986, 0.010339053123770684, 1270, 405, 195.96236099230114
94, 190, 0.021607383783223327, 0.01022906319692206, 1270, 405, 194.72150814053128
95, 190, 0.021379937638136764, 0.010121388847480775, 1270, 405, 193.03030303030303
96, 189, 0.021157229954406175, 0.01001595771365285, 1270, 405, 191.95804195804195
97, 189, 0.020939114181680336, 0.00991270041763581, 1270, 405, 190.09640666082382
98, 189, 0.020725449751255027, 0.00981155041337422, 1270, 405, 188.4056687333924
99, 188, 0.020516101773969623, 0.009712443843542157, 1270, 405, 187.33452593917713
100, 187, 0.020310940756229925, 0.009615319405106735, 1270, 405, 186.09318996415772
101, 187, 0.020109842332900918, 0.009520118222877957, 1270, 405, 184.40217391304347
102, 187, 0.019912687015911694, 0.0094267837304968, 1270, 405, 182.71062271062272
103, 186, 0.019719359957504783, 0.009335261558356055, 1270, 405, 182.08982584784601
104, 186, 0.01952975072714416, 0.009245499427987245, 1270, 405, 180.39851714550508
105, 185, 0.019343753101171358, 0.009157447052482606, 1270, 405, 179.15506035283195
106, 185, 0.019161264864367856, 0.009071056042553524, 1270, 405, 178.08630393996248
107, 184, 0.01898218762264479, 0.008986279817856763, 1270, 405, 176.8421052631579
108, 184, 0.018806426626138822, 0.008903073523246978, 1270, 405, 175.77397910731244
109, 184, 0.018633890602045806, 0.008821393949639208, 1270, 405, 174.0826128722382
110, 183, 0.018464491596572662, 0.008741199459187941, 1270, 405, 173.0097087378641
111, 183, 0.018298144825432367, 0.008662449914510572, 1270, 405, 171.7704280155642
112, 183, 0.01813476853234815, 0.008585106611702443, 1270, 405, 170.5263157894737
113, 181, 0.017974283855070734, 0.008509132216908615, 1270, 405, 170.07874015748033
114, 182, 0.017816614698447305, 0.008434490706233979, 1270, 405, 168.38645418326695
115, 181, 0.01766168761411298, 0.008361147308788466, 1270, 405, 167.7666999002991
116, 180, 0.01750943168640511, 0.008289068452678221, 1270, 405, 166.52347652347652
117, 180, 0.01735977842412814, 0.008218221713766441, 1270, 405, 165.45454545454544
118, 180, 0.01721266165782197, 0.008148575767039607, 1270, 405, 163.76278118609406
119, 180, 0.017068017442210023, 0.008080100340425828, 1270, 405, 163.14227226202664
120, 179, 0.01692578396352494, 0.008012766170922279, 1270, 405, 162.07039337474123
121, 178, 0.01678590145142969, 0.007946544962898129, 1270, 405, 161.45077720207254
122, 178, 0.016648312095270432, 0.007881409348448144, 1270, 405, 160.20768431983385
123, 178, 0.016512959964414573, 0.007817332849680274, 1270, 405, 159.1386554621849
124, 177, 0.01637979093244349, 0.007754289842828012, 1270, 405, 158.5173501577287
125, 178, 0.016248752604983943, 0.007692255524085389, 1270, 405, 156.82641107561236
126, 177, 0.016119794250976132, 0.007631205877068838, 1270, 405, 156.2046908315565
127, 176, 0.01599286673718892, 0.007571117641816327, 1270, 405, 155.58164354322307
128, 176, 0.01586792246580463, 0.007511968285239637, 1270, 405, 154.51403887688986
129, 176, 0.01574491531490692, 0.007453735972950958, 1270, 405, 153.89189189189187
130, 175, 0.015623800581715329, 0.007396399542389797, 1270, 405, 152.82275711159738
131, 175, 0.015504534928419791, 0.007339938477180714, 1270, 405, 151.74972314507198
132, 175, 0.015387076330477218, 0.007284332882656618, 1270, 405, 151.1308203991131
133, 174, 0.015271384027240547, 0.007229563462486268, 1270, 405, 150.51054384017758
134, 174, 0.015157418474798453, 0.007175611496348311, 1270, 405, 149.88888888888889
